address,size_bytes,size_hex,symbol_name,raw_name,binding,source_file,reference_file,object_id,object_source,classification,status,attempts,best_score,commit,notes_file
0x003CFC70,284,0x11C,fread,fread,global,../../../../../src/newlib/libc/stdio/fread.c,,external/fread_1527,../../../../../src/newlib/libc/stdio/fread.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CFC70_fread.md
0x003C1BE0,288,0x120,_rix_111,_rix_111,global,mpc.c,,external/mpc_1455,mpc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C1BE0__rix_111.md
0x003BF9E8,292,0x124,_sequenceHeader,_sequenceHeader,global,init.c,,external/init_1452,init.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003BF9E8__sequenceHeader.md
0x00392C10,296,0x128,sceMcDelete,sceMcDelete,global,../libmc.c,,external/libmc_1357,../libmc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/00392C10_sceMcDelete.md
0x003C39B8,296,0x128,_extensionAndUserData,_extensionAndUserData,global,mpc.c,,external/mpc_1455,mpc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C39B8__extensionAndUserData.md
0x003DD648,296,0x128,_sceSifCmdIntrHdlr,_sceSifCmdIntrHdlr,local,sifcmd.c,,external/sifcmd_1605,sifcmd.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003DD648__sceSifCmdIntrHdlr.md
0x003B5960,300,0x12C,b2d,b2d,local,../../../src/libio/floatconv.c,,external/floatconv_1400,../../../src/libio/floatconv.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003B5960_b2d.md
0x003B84E8,300,0x12C,_IO_file_underflow,_IO_file_underflow,global,../../../src/libio/fileops.c,,external/fileops_1401,../../../src/libio/fileops.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003B84E8__IO_file_underflow.md
0x003C24B0,300,0x12C,_sliceA0,_sliceA0,local,mpc.c,,external/mpc_1455,mpc.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003C24B0__sliceA0.md
0x003CBC60,300,0x12C,__pack_d,__pack_d,global,dp-bit.c,,external/dp-bit_1507,dp-bit.c,excluded_sdk_runtime,excluded_sdk_runtime,0,,,notes/functions/003CBC60___pack_d.md
